matricula,periodo_ingresso,periodo_situacao,cr,situacao,forma_ingresso,forma_saida,sexo,naturalidade,raca_cor,acao_afirmativa,tipo_de_escola_em,conclusao_em,interticio,reprovacoes_1_ciclo,recebeu_auxilio,recebeu_bolsa
E0244524,2024.2,2025.2,7.13567079146863,Formado,Vestibular,Formatura,M,Fortaleza,Parda,Ampla Concorrência,Pública,2022,2,2,não,sim
E0236314,2023.1,2024.2,7.98103942255156,Cursando,Vestibular,NULL,F,Outros,Não declarada,Ampla Concorrência,Privada,2022,1,2,sim,sim
E0181815,2018.1,2024.2,7.153650261069213,Cursando,SISU,NULL,M,Pacoti,Parda,Lei nº 12.711/2012,Privada,2013,5,1,não,não
E0218957,2021.2,2024.2,7.9162422311089475,Cursando,SISU,NULL,M,Fortaleza,Parda,Lei nº 12.711/2012,Pública,2020,1,0,não,não
E0236655,2023.2,2025.2,7.688520016279516,Formado,SISU,Formatura,F,Fortaleza,Preta,Lei nº 12.711/2012,Privada,2023,0,0,não,não
E0217475,2021.1,2025.1,8.84480249316339,Formado,SISU,Formatura,M,Palmácia,Amarela,Ampla Concorrência,Pública,2020,1,1,não,sim
E0205742,2020.2,2024.1,8.732941021450642,Formado,Internacional,Formatura,M,Fortaleza,Preta,Lei nº 12.711/2012,Pública,2019,1,0,não,não
E0187229,2018.1,2021.2,7.628256962475657,Evadido,Vestibular,Desistência,M,Outros,Amarela,Não informado,Pública,2013,5,0,sim,não
E0168147,2016.1,2024.2,8.271501374109858,Cursando,Vestibular,NULL,F,Fortaleza,Preta,Ampla Concorrência,Não informado,2014,2,2,não,sim
E0238033,2023.2,2024.2,8.83518698481231,Cursando,SISU,NULL,M,Pacoti,Não declarada,Ampla Concorrência,Pública,2023,0,1,não,não
E0241341,2024.2,2025.2,8.532518608371984,Formado,ENEM,Formatura,F,Outros,Indígena,Ampla Concorrência,Não informado,2021,3,0,não,sim
E0214986,2021.2,2024.2,4.144335688295207,Evadido,Vestibular,Jubilamento,F,Internacional,Parda,Ampla Concorrência,Pública,2019,2,3,sim,não
E0194630,2019.2,2024.2,6.446013745207692,Trancado,Reopção,NULL,M,Internacional,Indígena,Ampla Concorrência,Pública,2015,4,0,sim,sim
E0199693,2019.1,2021.2,5.713508865556088,Evadido,Transferência,Transferência,M,Baturité,Preta,Lei nº 12.711/2012,Pública,2019,0,2,sim,sim
E0225193,2022.1,2023.1,4.975089127051708,Evadido,Vestibular,Desistência,F,Fortaleza,Parda,Ampla Concorrência,Não informado,2017,5,4,sim,sim
E0238601,2023.2,2024.2,6.579142593478282,Cursando,ENEM,NULL,M,Baturité,Parda,Ampla Concorrência,Privada,2022,1,3,não,não
E0232118,2023.2,2024.2,6.064622899747038,Cursando,Transferência,NULL,M,Fortaleza,Preta,Não informado,Privada,2021,2,0,não,não
E0226766,2022.1,2024.2,6.595389251996064,Cursando,SISU,NULL,F,Outros,Parda,Ampla Concorrência,Pública,2019,3,0,não,não
